image_filename,pattern,camera,width,height,corners_expected,corners_found,found_ok,rms_px,blur_lapl_var,coverage_frac,tilt_deg,quality_class,notes
20250822_104306999_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,0.4144415855407715,128.36527633101826,0.25507643711419753,,AVERAGE,
20250822_104308663_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,0.3011782169342041,155.6544453498745,0.19298659336419752,,POOR,
20250822_104318778_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,1.3567498922348022,51.62111496786226,0.10765263310185186,,POOR,
20250822_104320109_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,1.0856049060821533,107.00877746201344,0.09661434220679012,,POOR,
20250822_104321112_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,1.0221019983291626,82.12642502585953,0.09338710455246914,,POOR,
20250822_104322161_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,0.45443591475486755,44.51775897124609,0.02992621527777778,,POOR,
20250822_104325649_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,0.45339056849479675,89.96389708202813,0.029497492283950617,,POOR,
20250822_104327606_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,0.45144185423851013,250.30390906795716,0.02951027199074074,,POOR,
20250822_104328709_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,0.2876877784729004,276.5823832946777,0.03257137345679012,,POOR,
20250822_104333283_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,0.3115314841270447,58.63237115603259,0.03218918788580247,,POOR,
20250822_104334709_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,0.3595452904701233,110.41502459487923,0.10472366898148149,,POOR,
20250822_104335594_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,0.5552988648414612,141.95746167175795,0.10544704861111111,,POOR,
20250822_104336660_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,0.2259760946035385,95.52316060598078,0.1048975212191358,,POOR,
20250822_104338572_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,0.513955295085907,134.31585568551745,0.09300853587962964,,POOR,
20250822_104340236_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,0.6618517637252808,96.38799928152848,0.028777729552469135,,POOR,
20250822_104344790_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,0.3884613513946533,78.76008213944408,0.027260802469135804,,POOR,
20250822_104349011_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,0.3526650369167328,110.97130335643662,0.02634596836419753,,POOR,
20250822_104353231_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,0.2837744951248169,115.3468875301845,0.028976658950617285,,POOR,
20250822_104354829_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,0.192796528339386,106.9548700884586,0.030729407793209877,,POOR,
20250822_104409455_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,0.29762908816337585,157.90999804378555,0.09633921682098766,,POOR,
20250822_104413976_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,0.5913355946540833,122.13842235967527,0.09486979166666666,,POOR,
20250822_104419606_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,0.46417587995529175,51.0972312467829,0.16457658179012347,,POOR,
20250822_104423826_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,0.29125407338142395,96.3217407342205,0.051593605324074074,,POOR,
20250822_104426825_iOS.jpg,20mm_13x9,tp,1920,1080,117,117,True,0.27856290340423584,89.36836642746556,0.05163001543209877,,POOR,
