image_filename,pattern,camera,width,height,corners_expected,corners_found,found_ok,rms_px,blur_lapl_var,coverage_frac,tilt_deg,quality_class,notes
20250903_074625694_iOS.jpg,25mm_10x7,uw_wth_lens_dist,1920,1080,70,70,True,2.7641425132751465,359.5581689968861,0.001402391975308642,,POOR,
20250903_074627639_iOS.jpg,25mm_10x7,uw_wth_lens_dist,1920,1080,70,70,True,2.2401793003082275,275.7801784154083,0.001583960262345679,,POOR,
20250903_074629233_iOS.jpg,25mm_10x7,uw_wth_lens_dist,1920,1080,70,70,True,2.8793463706970215,248.14881610158122,0.0018089313271604937,,POOR,
20250903_074630310_iOS.jpg,25mm_10x7,uw_wth_lens_dist,1920,1080,70,70,True,3.108103036880493,322.9348918830026,0.001726707175925926,,POOR,
20250903_074632298_iOS.jpg,25mm_10x7,uw_wth_lens_dist,1920,1080,70,70,True,2.997166156768799,342.990050067214,0.001744309413580247,,POOR,
20250903_074633472_iOS.jpg,25mm_10x7,uw_wth_lens_dist,1920,1080,70,70,True,3.1438868045806885,341.33987251338056,0.0017281539351851852,,POOR,
20250903_074634855_iOS.jpg,25mm_10x7,uw_wth_lens_dist,1920,1080,70,70,True,2.0115818977355957,339.93636105374105,0.0015685281635802468,,POOR,
20250903_074635893_iOS.jpg,25mm_10x7,uw_wth_lens_dist,1920,1080,70,70,True,2.276061534881592,446.4091916515208,0.001560812114197531,,POOR,
20250903_074637134_iOS.jpg,25mm_10x7,uw_wth_lens_dist,1920,1080,70,70,True,2.1518514156341553,497.9284668981533,0.0015610532407407407,,POOR,
20250903_074638318_iOS.jpg,25mm_10x7,uw_wth_lens_dist,1920,1080,70,70,True,2.1098296642303467,552.6019870809365,0.0016271219135802469,,POOR,
20250903_074639646_iOS.jpg,25mm_10x7,uw_wth_lens_dist,1920,1080,70,70,True,2.2249886989593506,609.5641952974817,0.0016124131944444445,,POOR,
20250903_074640605_iOS.jpg,25mm_10x7,uw_wth_lens_dist,1920,1080,70,70,True,3.6537046432495117,709.408380018277,0.0015837191358024692,,POOR,
20250903_074641842_iOS.jpg,25mm_10x7,uw_wth_lens_dist,1920,1080,70,70,True,2.188767671585083,551.9568701716611,0.0015588831018518519,,POOR,
20250903_074643005_iOS.jpg,25mm_10x7,uw_wth_lens_dist,1920,1080,70,70,True,2.5255484580993652,333.77935917435696,0.0015347704475308641,,POOR,
20250903_074644140_iOS.jpg,25mm_10x7,uw_wth_lens_dist,1920,1080,70,70,True,2.301365613937378,322.1131066731092,0.0015340470679012345,,POOR,
20250903_074645582_iOS.jpg,25mm_10x7,uw_wth_lens_dist,1920,1080,70,70,True,2.9537909030914307,278.48334140504284,0.0016256751543209877,,POOR,
20250903_074646962_iOS.jpg,25mm_10x7,uw_wth_lens_dist,1920,1080,70,70,True,2.1893210411071777,389.33705244957673,0.001589747299382716,,POOR,
20250903_074649447_iOS.jpg,25mm_10x7,uw_wth_lens_dist,1920,1080,70,70,True,2.491267204284668,368.84137450491846,0.0015063175154320988,,POOR,
20250903_074650844_iOS.jpg,25mm_10x7,uw_wth_lens_dist,1920,1080,70,70,True,1.8334072828292847,494.5941694068463,0.001552854938271605,,POOR,
20250903_074652072_iOS.jpg,25mm_10x7,uw_wth_lens_dist,1920,1080,70,70,True,2.5003230571746826,588.6150164233812,0.001574315200617284,,POOR,
20250903_074655999_iOS.jpg,25mm_10x7,uw_wth_lens_dist,1920,1080,70,70,True,0.11567912995815277,199.87608458467375,0.006872829861111111,,POOR,
20250903_074657244_iOS.jpg,25mm_10x7,uw_wth_lens_dist,1920,1080,70,70,True,0.11397456377744675,172.832687026839,0.006756124614197531,,POOR,
20250903_074658795_iOS.jpg,25mm_10x7,uw_wth_lens_dist,1920,1080,70,70,True,0.11296066641807556,152.1182301989374,0.006768904320987654,,POOR,
20250903_074700149_iOS.jpg,25mm_10x7,uw_wth_lens_dist,1920,1080,70,70,True,0.09875316172838211,116.28303241075056,0.007036072530864197,,POOR,
20250903_074702387_iOS.jpg,25mm_10x7,uw_wth_lens_dist,1920,1080,70,70,True,0.11558689177036285,172.47515297900605,0.006379484953703704,,POOR,
20250903_074704117_iOS.jpg,25mm_10x7,uw_wth_lens_dist,1920,1080,70,70,True,0.12791867554187775,179.94350297670118,0.006272183641975309,,POOR,
20250903_074705414_iOS.jpg,25mm_10x7,uw_wth_lens_dist,1920,1080,70,70,True,0.1308809518814087,247.65171039923487,0.0064349440586419756,,POOR,
20250903_074706778_iOS.jpg,25mm_10x7,uw_wth_lens_dist,1920,1080,70,70,True,0.12793001532554626,276.54286925024763,0.006442901234567902,,POOR,
20250903_074708117_iOS.jpg,25mm_10x7,uw_wth_lens_dist,1920,1080,70,70,True,0.10419527441263199,212.98890021623163,0.006706211419753087,,POOR,
20250903_074709533_iOS.jpg,25mm_10x7,uw_wth_lens_dist,1920,1080,70,70,True,0.1088842898607254,146.00980468730447,0.006481722608024691,,POOR,
20250903_074710963_iOS.jpg,25mm_10x7,uw_wth_lens_dist,1920,1080,70,70,True,0.09095035493373871,90.33859092548697,0.006555748456790123,,POOR,
20250903_074712361_iOS.jpg,25mm_10x7,uw_wth_lens_dist,1920,1080,70,70,True,0.11617939919233322,158.0074777563256,0.006505835262345679,,POOR,
20250903_074714123_iOS.jpg,25mm_10x7,uw_wth_lens_dist,1920,1080,70,70,True,0.6254547238349915,92.1139632936633,0.0069687982253086415,,POOR,
20250903_074715481_iOS.jpg,25mm_10x7,uw_wth_lens_dist,1920,1080,70,70,True,2.876215696334839,95.69209923856761,0.007442853009259259,,POOR,
20250903_074716850_iOS.jpg,25mm_10x7,uw_wth_lens_dist,1920,1080,70,70,True,0.08520428091287613,70.54380848037563,0.006895736882716049,,POOR,
20250903_074723215_iOS.jpg,25mm_10x7,uw_wth_lens_dist,1920,1080,70,70,True,0.24474704265594482,95.11429764436853,0.09553819444444445,,POOR,
20250903_074724327_iOS.jpg,25mm_10x7,uw_wth_lens_dist,1920,1080,70,70,True,0.2707948684692383,128.16257368736714,0.08744429976851852,,POOR,
20250903_074725538_iOS.jpg,25mm_10x7,uw_wth_lens_dist,1920,1080,70,70,True,0.26541656255722046,141.10444232621379,0.07775101273148148,,POOR,
20250903_074726683_iOS.jpg,25mm_10x7,uw_wth_lens_dist,1920,1080,70,70,True,0.26352179050445557,139.27560424475354,0.07691623263888889,,POOR,
20250903_074730767_iOS.jpg,25mm_10x7,uw_wth_lens_dist,1920,1080,70,70,True,0.22196508944034576,105.57309732361236,0.07037374614197531,,POOR,
20250903_074732322_iOS.jpg,25mm_10x7,uw_wth_lens_dist,1920,1080,70,70,True,0.16956642270088196,144.56931095225755,0.06944468557098765,,POOR,
20250903_074733755_iOS.jpg,25mm_10x7,uw_wth_lens_dist,1920,1080,70,70,True,0.2213304042816162,201.0438503267925,0.07200376157407408,,POOR,
20250903_074737719_iOS.jpg,25mm_10x7,uw_wth_lens_dist,1920,1080,70,70,True,0.30254417657852173,257.5099527262446,0.05462770061728395,,POOR,
